,Packet ID,Address,Data,Read/Write,ACK/NAK
,4,0x2B,0x00,Read,NAK
,5,0x2A,0x02,Write,ACK
,5,0x2A,0x00,Write,ACK
,6,0x2B,0x05,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0x02,Read,ACK
,6,0x2B,0xA1,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x85,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0xA1,Read,ACK
,6,0x2B,0x00,Read,ACK
,6,0x2B,0x05,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0x19,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x29,Read,ACK
,6,0x2B,0x02,Read,ACK
,6,0x2B,0x15,Read,ACK
,6,0x2B,0x00,Read,ACK
,6,0x2B,0x25,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x75,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x95,Read,ACK
,6,0x2B,0x02,Read,ACK
,6,0x2B,0x81,Read,ACK
,6,0x2B,0x02,Read,ACK
,6,0x2B,0x95,Read,ACK
,6,0x2B,0x06,Read,ACK
,6,0x2B,0x81,Read,ACK
,6,0x2B,0x03,Read,ACK
,6,0x2B,0x05,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0x30,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0x31,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0x38,Read,ACK
,6,0x2B,0x15,Read,ACK
,6,0x2B,0x81,Read,ACK
,6,0x2B,0x25,Read,ACK
,6,0x2B,0x7F,Read,ACK
,6,0x2B,0x75,Read,ACK
,6,0x2B,0x08,Read,ACK
,6,0x2B,0x95,Read,ACK
,6,0x2B,0x03,Read,ACK
,6,0x2B,0x81,Read,ACK
,6,0x2B,0x06,Read,ACK
,6,0x2B,0xC0,Read,ACK
,6,0x2B,0xC0,Read,ACK
,6,0x2B,0x06,Read,ACK
,6,0x2B,0x00,Read,ACK
,6,0x2B,0xFF,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0xC5,Read,ACK
,6,0x2B,0xA1,Read,ACK
,6,0x2B,0x01,Read,ACK
,6,0x2B,0x85,Read,ACK
,6,0x2B,0x0D,Read,ACK
,6,0x2B,0x09,Read,ACK
,6,0x2B,0xC5,Read,ACK
,6,0x2B,0x15,Read,ACK
,6,0x2B,0x00,Read,ACK
,6,0x2B,0x26,Read,ACK
,6,0x2B,0xFF,Read,ACK
,6,0x2B,0x00,Read,ACK
,6,0x2B,0x75,Read,ACK
,6,0x2B,0x08,Read,ACK
,6,0x2B,0x95,Read,ACK
,6,0x2B,0x04,Read,ACK
