,Packet ID,Address,Data,Read/Write,ACK/NAK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,ACK
,7,0x2B,0x00,Read,NAK
,8,0x2A,0x02,Write,ACK
,8,0x2A,0x00,Write,ACK
,9,0x2B,0x05,Read,ACK
,9,0x2B,0x01,Read,ACK
,9,0x2B,0x09,Read,ACK
,9,0x2B,0x02,Read,ACK
,9,0x2B,0xA1,Read,ACK
,9,0x2B,0x01,Read,ACK
,9,0x2B,0x85,Read,ACK
,9,0x2B,0x01,Read,ACK
,9,0x2B,0x09,Read,ACK
,9,0x2B,0x01,Read,ACK
,9,0x2B,0xA1,Read,ACK
,9,0x2B,0x00,Read,ACK
,9,0x2B,0x05,Read,ACK
,9,0x2B,0x09,Read,ACK
,9,0x2B,0x19,Read,ACK
,9,0x2B,0x01,Read,ACK
,9,0x2B,0x29,Read,ACK
,9,0x2B,0x02,Read,ACK
,9,0x2B,0x15,Read,ACK
,9,0x2B,0x00,Read,ACK
,9,0x2B,0x25,Read,ACK
,9,0x2B,0x01,Read,ACK
,9,0x2B,0x75,Read,ACK
,9,0x2B,0x01,Read,ACK
,9,0x2B,0x95,Read,ACK
,9,0x2B,0x02,Read,ACK
,9,0x2B,0x81,Read,ACK
,9,0x2B,0x02,Read,ACK
,9,0x2B,0x95,Read,ACK
,9,0x2B,0x06,Read,ACK
,9,0x2B,0x81,Read,ACK
,9,0x2B,0x03,Read,ACK
,9,0x2B,0x05,Read,ACK
